F1,F2,F3,F4,F5,L
18.34,17.65,16.87,16.18,15.41,0
17.65,16.87,16.18,15.41,15.32,0
16.87,16.18,15.41,15.32,13.47,0
16.18,15.41,15.32,13.47,11.70,0
15.41,15.32,13.47,11.70,11.18,0
15.32,13.47,11.70,11.18,10.68,0
13.47,11.70,11.18,10.68,9.83,0
11.70,11.18,10.68,9.83,11.56,0
11.18,10.68,9.83,11.56,13.20,0
10.68,9.83,11.56,13.20,14.34,0
9.83,11.56,13.20,14.34,15.02,0
11.56,13.20,14.34,15.02,15.80,0
13.20,14.34,15.02,15.80,17.34,0
14.34,15.02,15.80,17.34,16.41,0
15.02,15.80,17.34,16.41,15.71,0
15.80,17.34,16.41,15.71,14.04,0
17.34,16.41,15.71,14.04,12.31,0
16.41,15.71,14.04,12.31,11.17,0
15.71,14.04,12.31,11.17,10.77,0
14.04,12.31,11.17,10.77,9.69,0
12.31,11.17,10.77,9.69,10.82,0
11.17,10.77,9.69,10.82,12.30,0
10.77,9.69,10.82,12.30,12.87,0
9.69,10.82,12.30,12.87,36.69,1
10.82,12.30,12.87,36.69,16.28,0
12.30,12.87,36.69,16.28,18.21,0
12.87,36.69,16.28,18.21,18.04,0
36.69,16.28,18.21,18.04,16.51,0
16.28,18.21,18.04,16.51,16.40,0
18.21,18.04,16.51,16.40,14.56,0
18.04,16.51,16.40,14.56,12.63,0
16.51,16.40,14.56,12.63,10.72,0
16.40,14.56,12.63,10.72,10.01,0
14.56,12.63,10.72,10.01,9.65,0
12.63,10.72,10.01,9.65,11.11,0
10.72,10.01,9.65,11.11,11.54,0
10.01,9.65,11.11,11.54,13.28,0
9.65,11.11,11.54,13.28,14.30,0
11.11,11.54,13.28,14.30,14.89,0
11.54,13.28,14.30,14.89,15.48,0
13.28,14.30,14.89,15.48,17.43,0
14.30,14.89,15.48,17.43,17.21,0
14.89,15.48,17.43,17.21,16.30,0
15.48,17.43,17.21,16.30,15.72,0
17.43,17.21,16.30,15.72,14.33,0
17.21,16.30,15.72,14.33,13.26,0
16.30,15.72,14.33,13.26,13.04,0
15.72,14.33,13.26,13.04,11.14,0
14.33,13.26,13.04,11.14,9.70,0
13.26,13.04,11.14,9.70,9.82,0
13.04,11.14,9.70,9.82,10.60,0
11.14,9.70,9.82,10.60,12.27,0
9.70,9.82,10.60,12.27,14.26,0
9.82,10.60,12.27,14.26,15.46,0
10.60,12.27,14.26,15.46,16.65,0
12.27,14.26,15.46,16.65,17.74,0
14.26,15.46,16.65,17.74,17.49,0
15.46,16.65,17.74,17.49,16.29,0
16.65,17.74,17.49,16.29,15.95,0
17.74,17.49,16.29,15.95,15.18,0
17.49,16.29,15.95,15.18,14.31,0
16.29,15.95,15.18,14.31,13.18,0
15.95,15.18,14.31,13.18,11.52,0
15.18,14.31,13.18,11.52,10.22,0
14.31,13.18,11.52,10.22,8.37,0
13.18,11.52,10.22,8.37,9.52,0
11.52,10.22,8.37,9.52,9.63,0
10.22,8.37,9.52,9.63,10.11,0
8.37,9.52,9.63,10.11,10.93,0
9.52,9.63,10.11,10.93,12.45,0
9.63,10.11,10.93,12.45,13.53,0
10.11,10.93,12.45,13.53,13.80,0
10.93,12.45,13.53,13.80,15.74,0
12.45,13.53,13.80,15.74,17.13,0
13.53,13.80,15.74,17.13,15.55,0
13.80,15.74,17.13,15.55,14.13,0
15.74,17.13,15.55,14.13,13.36,0
17.13,15.55,14.13,13.36,12.36,0
15.55,14.13,13.36,12.36,11.51,0
14.13,13.36,12.36,11.51,11.09,0
13.36,12.36,11.51,11.09,9.68,0
12.36,11.51,11.09,9.68,11.03,0
11.51,11.09,9.68,11.03,12.66,0
11.09,9.68,11.03,12.66,13.59,0
9.68,11.03,12.66,13.59,14.78,0
11.03,12.66,13.59,14.78,16.21,0
12.66,13.59,14.78,16.21,16.63,0
13.59,14.78,16.21,16.63,17.16,0
14.78,16.21,16.63,17.16,16.44,0
16.21,16.63,17.16,16.44,14.99,0
16.63,17.16,16.44,14.99,13.11,0
17.16,16.44,14.99,13.11,12.41,0
16.44,14.99,13.11,12.41,11.05,0
14.99,13.11,12.41,11.05,9.71,0
13.11,12.41,11.05,9.71,10.73,0
12.41,11.05,9.71,10.73,11.82,0
11.05,9.71,10.73,11.82,11.86,0
9.71,10.73,11.82,11.86,12.20,0
10.73,11.82,11.86,12.20,13.85,0
11.82,11.86,12.20,13.85,15.35,0
11.86,12.20,13.85,15.35,15.96,0
12.20,13.85,15.35,15.96,16.77,0
13.85,15.35,15.96,16.77,16.99,0
15.35,15.96,16.77,16.99,17.01,0
15.96,16.77,16.99,17.01,15.51,0
16.77,16.99,17.01,15.51,14.69,0
16.99,17.01,15.51,14.69,13.62,0
17.01,15.51,14.69,13.62,12.70,0
15.51,14.69,13.62,12.70,11.18,0
14.69,13.62,12.70,11.18,10.35,0
13.62,12.70,11.18,10.35,8.59,0
12.70,11.18,10.35,8.59,10.52,0
11.18,10.35,8.59,10.52,11.51,0
10.35,8.59,10.52,11.51,12.77,0
8.59,10.52,11.51,12.77,13.19,0
10.52,11.51,12.77,13.19,14.81,0
11.51,12.77,13.19,14.81,16.60,0
12.77,13.19,14.81,16.60,16.88,0
13.19,14.81,16.60,16.88,18.84,0
14.81,16.60,16.88,18.84,18.46,0
16.60,16.88,18.84,18.46,17.23,0
16.88,18.84,18.46,17.23,16.25,0
18.84,18.46,17.23,16.25,14.64,0
18.46,17.23,16.25,14.64,13.69,0
17.23,16.25,14.64,13.69,12.41,0
16.25,14.64,13.69,12.41,11.06,0
14.64,13.69,12.41,11.06,9.35,0
13.69,12.41,11.06,9.35,10.85,0
12.41,11.06,9.35,10.85,11.33,0
11.06,9.35,10.85,11.33,11.76,0
9.35,10.85,11.33,11.76,12.49,0
10.85,11.33,11.76,12.49,13.79,0
11.33,11.76,12.49,13.79,14.34,0
11.76,12.49,13.79,14.34,15.26,0
12.49,13.79,14.34,15.26,16.08,0
13.79,14.34,15.26,16.08,16.92,0
14.34,15.26,16.08,16.92,17.61,0
15.26,16.08,16.92,17.61,16.24,0
16.08,16.92,17.61,16.24,14.91,0
16.92,17.61,16.24,14.91,13.17,0
17.61,16.24,14.91,13.17,11.61,0
16.24,14.91,13.17,11.61,11.38,0
14.91,13.17,11.61,11.38,9.80,0
13.17,11.61,11.38,9.80,10.88,0
11.61,11.38,9.80,10.88,12.16,0
11.38,9.80,10.88,12.16,13.68,0
9.80,10.88,12.16,13.68,15.57,0
10.88,12.16,13.68,15.57,16.04,0
12.16,13.68,15.57,16.04,17.84,0
13.68,15.57,16.04,17.84,16.90,0
15.57,16.04,17.84,16.90,15.33,0
16.04,17.84,16.90,15.33,14.24,0
17.84,16.90,15.33,14.24,14.04,0
16.90,15.33,14.24,14.04,13.64,0
15.33,14.24,14.04,13.64,12.94,0
14.24,14.04,13.64,12.94,12.65,0
14.04,13.64,12.94,12.65,11.10,0
13.64,12.94,12.65,11.10,10.30,0
12.94,12.65,11.10,10.30,8.52,0
12.65,11.10,10.30,8.52,8.67,0
11.10,10.30,8.52,8.67,9.13,0
10.30,8.52,8.67,9.13,10.83,0
8.52,8.67,9.13,10.83,11.95,0
8.67,9.13,10.83,11.95,13.66,0
9.13,10.83,11.95,13.66,13.99,0
10.83,11.95,13.66,13.99,15.08,0
11.95,13.66,13.99,15.08,16.28,0
13.66,13.99,15.08,16.28,17.95,0
13.99,15.08,16.28,17.95,17.58,0
15.08,16.28,17.95,17.58,16.88,0
16.28,17.95,17.58,16.88,14.92,0
17.95,17.58,16.88,14.92,12.99,0
17.58,16.88,14.92,12.99,12.69,0
16.88,14.92,12.99,12.69,11.66,0
14.92,12.99,12.69,11.66,10.05,0
12.99,12.69,11.66,10.05,9.08,0
12.69,11.66,10.05,9.08,10.18,0
11.66,10.05,9.08,10.18,11.46,0
10.05,9.08,10.18,11.46,12.75,0
9.08,10.18,11.46,12.75,14.27,0
10.18,11.46,12.75,14.27,15.82,0
11.46,12.75,14.27,15.82,16.57,0
12.75,14.27,15.82,16.57,17.95,0
14.27,15.82,16.57,17.95,17.81,0
15.82,16.57,17.95,17.81,16.85,0
16.57,17.95,17.81,16.85,15.89,0
17.95,17.81,16.85,15.89,14.73,0
17.81,16.85,15.89,14.73,14.21,0
16.85,15.89,14.73,14.21,14.11,0
15.89,14.73,14.21,14.11,13.08,0
14.73,14.21,14.11,13.08,12.99,0
14.21,14.11,13.08,12.99,12.04,0
14.11,13.08,12.99,12.04,10.71,0
13.08,12.99,12.04,10.71,9.13,0
12.99,12.04,10.71,9.13,9.80,0
12.04,10.71,9.13,9.80,10.82,0
10.71,9.13,9.80,10.82,12.66,0
9.13,9.80,10.82,12.66,14.44,0
9.80,10.82,12.66,14.44,15.27,0
10.82,12.66,14.44,15.27,15.32,0
12.66,14.44,15.27,15.32,16.19,0
14.44,15.27,15.32,16.19,16.70,0
15.27,15.32,16.19,16.70,17.29,0
15.32,16.19,16.70,17.29,17.11,0
16.19,16.70,17.29,17.11,15.99,0
16.70,17.29,17.11,15.99,14.38,0
17.29,17.11,15.99,14.38,13.48,0
17.11,15.99,14.38,13.48,13.01,0
15.99,14.38,13.48,13.01,12.52,0
14.38,13.48,13.01,12.52,11.55,0
13.48,13.01,12.52,11.55,10.49,0
13.01,12.52,11.55,10.49,9.89,0
12.52,11.55,10.49,9.89,10.78,0
11.55,10.49,9.89,10.78,11.29,0
10.49,9.89,10.78,11.29,12.50,0
9.89,10.78,11.29,12.50,13.59,0
10.78,11.29,12.50,13.59,13.74,0
11.29,12.50,13.59,13.74,14.84,0
12.50,13.59,13.74,14.84,15.28,0
13.59,13.74,14.84,15.28,15.30,0
13.74,14.84,15.28,15.30,16.15,0
14.84,15.28,15.30,16.15,17.62,0
15.28,15.30,16.15,17.62,15.89,0
15.30,16.15,17.62,15.89,35.50,1
16.15,17.62,15.89,35.50,12.34,0
17.62,15.89,35.50,12.34,10.45,0
15.89,35.50,12.34,10.45,9.27,0
35.50,12.34,10.45,9.27,9.78,0
12.34,10.45,9.27,9.78,11.17,0
10.45,9.27,9.78,11.17,12.90,0
9.27,9.78,11.17,12.90,14.18,0
9.78,11.17,12.90,14.18,15.79,0
11.17,12.90,14.18,15.79,17.12,0
12.90,14.18,15.79,17.12,15.34,0
14.18,15.79,17.12,15.34,14.57,0
15.79,17.12,15.34,14.57,14.00,0
17.12,15.34,14.57,14.00,13.29,0
15.34,14.57,14.00,13.29,12.60,0
14.57,14.00,13.29,12.60,11.33,0
14.00,13.29,12.60,11.33,10.20,0
13.29,12.60,11.33,10.20,8.96,0
12.60,11.33,10.20,8.96,10.89,0
11.33,10.20,8.96,10.89,12.13,0
10.20,8.96,10.89,12.13,13.45,0
8.96,10.89,12.13,13.45,14.95,0
10.89,12.13,13.45,14.95,16.02,0
12.13,13.45,14.95,16.02,16.82,0
13.45,14.95,16.02,16.82,17.47,0
14.95,16.02,16.82,17.47,17.29,0
16.02,16.82,17.47,17.29,16.14,0
16.82,17.47,17.29,16.14,14.88,0
17.47,17.29,16.14,14.88,13.48,0
17.29,16.14,14.88,13.48,12.16,0
16.14,14.88,13.48,12.16,11.62,0
14.88,13.48,12.16,11.62,10.61,0
13.48,12.16,11.62,10.61,10.22,0
12.16,11.62,10.61,10.22,8.41,0
11.62,10.61,10.22,8.41,8.76,0
10.61,10.22,8.41,8.76,9.51,0
10.22,8.41,8.76,9.51,10.55,0
8.41,8.76,9.51,10.55,11.47,0
8.76,9.51,10.55,11.47,11.62,0
9.51,10.55,11.47,11.62,12.20,0
10.55,11.47,11.62,12.20,13.55,0
11.47,11.62,12.20,13.55,14.71,0
11.62,12.20,13.55,14.71,15.92,0
12.20,13.55,14.71,15.92,16.62,0
13.55,14.71,15.92,16.62,18.08,0
14.71,15.92,16.62,18.08,16.64,0
15.92,16.62,18.08,16.64,15.49,0
16.62,18.08,16.64,15.49,14.08,0
18.08,16.64,15.49,14.08,12.14,0
16.64,15.49,14.08,12.14,11.93,0
15.49,14.08,12.14,11.93,11.09,0
14.08,12.14,11.93,11.09,9.68,0
12.14,11.93,11.09,9.68,9.95,0
11.93,11.09,9.68,9.95,10.80,0
11.09,9.68,9.95,10.80,11.78,0
9.68,9.95,10.80,11.78,12.06,0
9.95,10.80,11.78,12.06,12.64,0
10.80,11.78,12.06,12.64,13.14,0
11.78,12.06,12.64,13.14,14.71,0
12.06,12.64,13.14,14.71,15.79,0
12.64,13.14,14.71,15.79,15.98,0
13.14,14.71,15.79,15.98,17.62,0
14.71,15.79,15.98,17.62,17.05,0
15.79,15.98,17.62,17.05,16.72,0
15.98,17.62,17.05,16.72,15.73,0
17.62,17.05,16.72,15.73,15.54,0
17.05,16.72,15.73,15.54,15.46,0
16.72,15.73,15.54,15.46,13.59,0
15.73,15.54,15.46,13.59,13.40,0
15.54,15.46,13.59,13.40,12.19,0
15.46,13.59,13.40,12.19,10.62,0
13.59,13.40,12.19,10.62,10.56,0
13.40,12.19,10.62,10.56,9.96,0
12.19,10.62,10.56,9.96,11.30,0
10.62,10.56,9.96,11.30,12.75,0
10.56,9.96,11.30,12.75,13.28,0
9.96,11.30,12.75,13.28,14.69,0
11.30,12.75,13.28,14.69,15.54,0
12.75,13.28,14.69,15.54,17.29,0
13.28,14.69,15.54,17.29,15.44,0
14.69,15.54,17.29,15.44,13.92,0
15.54,17.29,15.44,13.92,12.65,0
17.29,15.44,13.92,12.65,11.80,0
15.44,13.92,12.65,11.80,10.06,0
13.92,12.65,11.80,10.06,9.58,0
12.65,11.80,10.06,9.58,11.54,0
11.80,10.06,9.58,11.54,12.01,0
10.06,9.58,11.54,12.01,12.55,0
9.58,11.54,12.01,12.55,14.28,0
11.54,12.01,12.55,14.28,14.73,0
12.01,12.55,14.28,14.73,15.34,0
12.55,14.28,14.73,15.34,15.98,0
14.28,14.73,15.34,15.98,16.93,0
14.73,15.34,15.98,16.93,18.88,0
